       Địa chỉ  Quận  Huyện  Loại hình nhà ở  Giấy tờ pháp lý  Số tầng  Số phòng ngủ  Diện tích          Dài     Rộng           Giá
27591      676     5    135                1                0      4.0           2.0       25.0       8.0000    33.00  7.200000e+10
27602     1253     7     52                1                0      4.0           5.0       78.0      20.0000     3.00  8.462000e+10
27604     2008     0      0                0                0      6.0          11.0       70.0       5.0000    70.00  7.429000e+10
27610     2009    21    183                0                0      4.0           4.0       36.0      10.0000     3.60  5.000000e+10
27619      280     3    110                2                0      4.0           7.0      125.0      10.0000    15.00  7.120000e+10
27621      539     0    141                1                0      4.0           5.0       36.0      10.0000     3.00  1.500000e+11
27626      850     6     15                0                0      4.0           4.0       45.0       7.0000     6.00  9.111000e+10
27640     1889     6     15                0                0      5.0           4.0       47.0       9.0000     5.00  1.297900e+11
27651     2010     9      0                0                0      5.0           4.0       45.0      10.0000     4.00  5.556000e+10
27653      263     2     69                0                0      1.0           1.0       50.0       8.0000     6.00  5.800000e+10
27654     2011    11    114                0                0      5.0           5.0       40.0      12.0000     3.00  9.000000e+10
27664      495    11     47                1                0      5.0           4.0       55.0      13.0000     4.00  2.545500e+11
27673     2012    11     60                0                0      4.0           3.0       34.0      10.0000     3.00  9.412000e+10
27674      500     1    139                0                0      1.0           3.0       39.0      10.0000     4.00  5.641000e+10
